NAB,autoreg,0.644,0.974,0.083,1.0,0.044,0.143
TODS,autoreg,0.697,0.727,0.614,0.637,0.686,0.484
NAB,autoreg,0.644,0.974,0.083,1.0,0.044,0.143
TODS,autoreg,0.697,0.727,0.614,0.637,0.686,0.484
AIOPS,autoreg,0.749,0.776,0.254,0.953,0.166,0.25
UCR,autoreg,0.348,0.347,0.025,0.719,0.014,0.105
WSD,autoreg,0.833,0.499,0.128,0.835,0.078,0.244
Yahoo,autoreg,0.914,0.568,0.499,0.936,0.361,0.796
NAB,autoreg,0.644,0.974,0.083,1.0,0.044,0.143
TODS,autoreg,0.697,0.727,0.614,0.637,0.686,0.484
AIOPS,autoreg,0.749,0.776,0.254,0.953,0.166,0.25
UCR,autoreg,0.348,0.347,0.025,0.719,0.014,0.105
WSD,autoreg,0.833,0.499,0.128,0.835,0.078,0.244
Yahoo,autoreg,0.914,0.568,0.499,0.936,0.361,0.796
NAB,autoreg,0.644,0.974,0.083,1.0,0.044,0.143
NAB,autoreg,0.644,0.974,0.083,1.0,0.044,0.143
NAB,tspulse,0.646,0.572,0.363,0.412,0.615,0.282
TODS,autoreg,0.697,0.727,0.614,0.637,0.686,0.484
TODS,tspulse,0.138,0.223,0.088,0.099,0.118,0.162
AIOPS,autoreg,0.749,0.776,0.254,0.953,0.166,0.25
NAB,autoreg,0.644,0.974,0.083,1.0,0.044,0.143
NAB,tspulse,0.646,0.572,0.363,0.412,0.615,0.282
Yahoo,autoreg,0.914,0.568,0.499,0.936,0.361,0.796
NAB,autoreg,0.644,0.974,0.083,1.0,0.044,0.143
NAB,tspulse,0.646,0.572,0.363,0.412,0.615,0.282
TODS,autoreg,0.697,0.727,0.614,0.637,0.686,0.484
TODS,tspulse,0.138,0.223,0.088,0.099,0.118,0.162
